epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
127,6096.08,0.89191,0.40138,0.84364,0.8531,0.81207,0.83994,0.36785,2.02713,0.75384,1.12478,0.00015073,0.00015073,0.00015073
128,6143.95,0.88741,0.40172,0.84083,0.8528,0.81355,0.84077,0.36811,2.0295,0.75427,1.1258,0.000147139,0.000147139,0.000147139
129,6191.9,0.88508,0.39924,0.84222,0.854,0.81478,0.84125,0.36843,2.02941,0.75473,1.12657,0.000143573,0.000143573,0.000143573
130,6239.86,0.88484,0.40137,0.84156,0.85356,0.81507,0.84114,0.36808,2.02968,0.75497,1.12735,0.000140033,0.000140033,0.000140033
131,6287.73,0.88032,0.39767,0.83699,0.85231,0.81639,0.84205,0.36795,2.02955,0.75434,1.12849,0.000136521,0.000136521,0.000136521
132,6335.53,0.88364,0.39926,0.83968,0.85219,0.81563,0.84262,0.36834,2.02985,0.75335,1.12935,0.000133036,0.000133036,0.000133036
133,6383.51,0.87215,0.3953,0.83841,0.85402,0.81463,0.84379,0.36884,2.02996,0.75391,1.13006,0.00012958,0.00012958,0.00012958
134,6431.53,0.87617,0.39486,0.84,0.85521,0.81635,0.84457,0.36884,2.03037,0.75445,1.13091,0.000126154,0.000126154,0.000126154
135,6479.47,0.87122,0.39338,0.83766,0.85419,0.81603,0.84364,0.36857,2.03185,0.75474,1.13192,0.000122759,0.000122759,0.000122759
136,6527.72,0.87325,0.39336,0.8358,0.85469,0.81614,0.84384,0.36784,2.03234,0.75546,1.13274,0.000119394,0.000119394,0.000119394
137,6575.76,0.87154,0.39322,0.83736,0.85422,0.81621,0.8434,0.36765,2.03268,0.75554,1.13346,0.000116062,0.000116062,0.000116062
138,6623.86,0.86803,0.39546,0.83587,0.85351,0.81476,0.84324,0.3683,2.03392,0.75643,1.13422,0.000112764,0.000112764,0.000112764
139,6672.04,0.86333,0.39102,0.83503,0.85435,0.8168,0.84288,0.36826,2.03465,0.75679,1.13501,0.000109499,0.000109499,0.000109499
140,6719.97,0.86645,0.39191,0.83558,0.85664,0.81247,0.84329,0.36811,2.03554,0.75679,1.13562,0.000106268,0.000106268,0.000106268
141,6768.08,0.86141,0.3889,0.83326,0.85751,0.8122,0.84249,0.36847,2.03548,0.75715,1.13604,0.000103074,0.000103074,0.000103074
142,6815.81,0.85656,0.38885,0.83486,0.8585,0.81227,0.84388,0.3689,2.03716,0.75735,1.1365,9.99149e-05,9.99149e-05,9.99149e-05
143,6863.6,0.86181,0.38998,0.83581,0.85884,0.80921,0.84252,0.36855,2.03762,0.75736,1.13767,9.67934e-05,9.67934e-05,9.67934e-05
144,6911.69,0.85626,0.38662,0.83662,0.85852,0.80921,0.84126,0.36841,2.03826,0.7576,1.13838,9.37097e-05,9.37097e-05,9.37097e-05
145,6959.64,0.85604,0.38623,0.83086,0.85785,0.80813,0.84098,0.36837,2.03815,0.75803,1.1391,9.06645e-05,9.06645e-05,9.06645e-05
146,7007.54,0.85268,0.38476,0.83444,0.85826,0.80735,0.84026,0.36791,2.03879,0.75755,1.13982,8.76586e-05,8.76586e-05,8.76586e-05
147,7055.39,0.84907,0.38527,0.83343,0.85949,0.80867,0.84203,0.36831,2.03834,0.75764,1.1407,8.46928e-05,8.46928e-05,8.46928e-05
148,7103.19,0.8535,0.38459,0.83346,0.85742,0.80705,0.84062,0.3681,2.03902,0.75784,1.14133,8.17678e-05,8.17678e-05,8.17678e-05
149,7151.1,0.84773,0.38401,0.83176,0.85768,0.80705,0.83987,0.36797,2.04025,0.75832,1.14218,7.88843e-05,7.88843e-05,7.88843e-05
150,7198.93,0.84581,0.38453,0.8308,0.86004,0.80932,0.84257,0.36777,2.04151,0.75886,1.14292,7.6043e-05,7.6043e-05,7.6043e-05
151,7246.86,0.84524,0.3813,0.83072,0.85755,0.80813,0.84116,0.36764,2.04309,0.75954,1.14387,7.32446e-05,7.32446e-05,7.32446e-05
152,7294.64,0.84618,0.38157,0.83197,0.85822,0.80867,0.84182,0.36801,2.04324,0.75991,1.14485,7.04899e-05,7.04899e-05,7.04899e-05
153,7342.43,0.84277,0.38191,0.83103,0.85715,0.80867,0.84194,0.36789,2.04368,0.76013,1.14536,6.77795e-05,6.77795e-05,6.77795e-05
154,7390.25,0.84398,0.38163,0.83245,0.85864,0.8099,0.84249,0.3677,2.04522,0.76024,1.14627,6.5114e-05,6.5114e-05,6.5114e-05
155,7438.22,0.84162,0.38016,0.83219,0.85616,0.80759,0.84046,0.36743,2.04499,0.76116,1.14678,6.24941e-05,6.24941e-05,6.24941e-05
156,7486.23,0.83658,0.37979,0.83106,0.8564,0.80705,0.8402,0.36771,2.04433,0.76119,1.14709,5.99205e-05,5.99205e-05,5.99205e-05
157,7534.22,0.83678,0.37827,0.83001,0.8564,0.80705,0.84036,0.36787,2.04445,0.76219,1.1482,5.73938e-05,5.73938e-05,5.73938e-05
158,7582.4,0.83662,0.37827,0.82839,0.85347,0.80705,0.84009,0.36658,2.04523,0.7623,1.14861,5.49147e-05,5.49147e-05,5.49147e-05
159,7630.39,0.83669,0.37646,0.82889,0.85385,0.80748,0.84034,0.36707,2.04577,0.76172,1.14944,5.24836e-05,5.24836e-05,5.24836e-05
160,7678.38,0.83664,0.37847,0.82867,0.85401,0.80848,0.84049,0.36707,2.04612,0.76189,1.15011,5.01013e-05,5.01013e-05,5.01013e-05
